iter	Passed	Remaining
0	14	1463
1	26	1296
2	36	1188
3	47	1130
4	57	1094
5	68	1079
6	79	1053
7	89	1034
8	101	1021
9	111	1005
10	121	986
11	132	975
12	144	964
13	155	952
14	166	941
15	177	929
16	187	916
17	199	907
18	210	896
19	220	883
20	231	871
21	243	861
22	255	853
23	266	844
24	278	835
25	289	823
26	300	813
27	312	804
28	324	794
29	335	783
30	346	772
31	358	762
32	369	751
33	381	740
34	393	730
35	403	718
36	414	706
37	426	695
38	437	683
39	448	672
40	459	661
41	471	650
42	482	639
43	494	628
44	505	617
45	516	606
46	527	595
47	539	584
48	550	572
49	561	561
50	573	550
51	583	539
52	595	527
53	609	518
54	622	508
55	633	497
56	644	486
57	656	475
58	668	464
59	679	452
60	691	441
61	702	430
62	713	418
63	724	407
64	735	396
65	747	384
66	758	373
67	769	362
68	780	350
69	791	339
70	802	327
71	813	316
72	824	304
73	835	293
74	846	282
75	858	271
76	870	259
77	881	248
78	893	237
79	905	226
80	916	214
81	927	203
82	938	192
83	949	180
84	961	169
85	973	158
86	985	147
87	996	135
88	1007	124
89	1019	113
90	1030	101
91	1040	90
92	1051	79
93	1062	67
94	1072	56
95	1085	45
96	1097	33
97	1108	22
98	1120	11
99	1132	0
